Date,Committee,Hearing Title,Time,Link,Code
"Tuesday, February 26, 2013",Subcommittee on Seapower and Projection Forces (Committee on Armed Services),The Future of Seapower,3:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100319,AS28
"Tuesday, March 5, 2013",Subcommittee on Oversight (Committee on Ways and Means),Boustany Announces Hearing on the Tax-Related Provisions in the President s Health Care Law,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100389,WM06
"Wednesday, February 27, 2013","Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations (Committee on Foreign Affairs)",Anti-Semitism: A Growing Threat to All Faiths,9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100336,FA16
"Wednesday, February 27, 2013",Committee on Veterans Affairs,Electronic Health Record U-Turn: Are VA and DoD Headed in the Wrong Direction?,9:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100292,VR00
"Wednesday, February 27, 2013",Committee on Oversight and Government Reform,Full Committee Hearing  Time to Reform Information Technology Acquisition: The Federal IT Acquisition Reform Act ,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100363,GO00
"Wednesday, February 27, 2013","Subcommittee on Space (Committee on Science, Space, and Technology)",A Review of The Space Leadership Preservation Act,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100316,SY16
"Wednesday, February 27, 2013",Committee on Armed Services,Transition in Afghanistan: Views of Outside Experts,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100315,AS00
"Wednesday, February 27, 2013",Committee on the Judiciary,Drones and the War On Terror: When Can the U.S. Target Alleged American Terrorists Overseas?,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100325,JU00
"Wednesday, March 13, 2013","Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)",Syria Oversight (CLOSED),12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100298,AP04
"Wednesday, February 27, 2013",Committee on Financial Services,Monetary Policy and the State of the Economy,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100374,BA00
"Wednesday, February 27, 2013",Subcommittee on Communications and Technology (Committee on Energy and Commerce),Is the Broadband Stimulus Working?,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100331,IF16
"Wednesday, February 27, 2013","Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",United States Army Corps of Engineers Projects and Programs Budget,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100286,AP10
"Wednesday, February 27, 2013",Subcommittee on Legislative Branch (Committee on Appropriations),Library of Congress Budget,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100287,AP24
"Wednesday, February 27, 2013","Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)",Indian Education Oversight,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100226,AP06
"Wednesday, February 27, 2013",Subcommittee on Homeland Security (Committee on Appropriations),"Resources for Risk-Based Security, Transportation Security Administration Budget",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100285,AP15
"Wednesday, February 27, 2013",Subcommittee on Health (Committee on Energy and Commerce),"Fostering Innovation to Fight Waste, Fraud and Abuse in Health Care",10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100329,IF14
"Wednesday, February 27, 2013",Subcommittee on Aviation (Committee on Transportation and Infrastructure),Implementation of the FAA REauthorization Reform Act:  One Year Later.,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100370,PW05
"Wednesday, February 27, 2013",Subcommittee on Legislative Branch (Committee on Appropriations),Congressional Budget Office Budget,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100288,AP24
"Wednesday, February 27, 2013",Committee on Education and the Workforce,Protecting Students and Teachers: A Discussion on School Safety,12:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100303,ED00
"Wednesday, February 27, 2013","Subcommittee on Europe, Eurasia, and Emerging Threats (Committee on Foreign Affairs)",Islamist Militant Threats to Eurasia,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100314,FA14
"Wednesday, February 27, 2013",Committee on Small Business,Views and Estimates,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100258,SM00
