MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 David G. Valadao,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Scott Franklin,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Stephanie I. Bice,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Mike Quigley,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Jake Ellzey,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,"Thursday, March 23, 2023"
 Michael K. Simpson,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Chuck Edwards,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Josh Harder,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Chellie Pingree,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Jake Ellzey,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Betty McCollum,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Derek Kilmer,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Michael K. Simpson,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Guy Reschenthaler,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Derek Kilmer,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115437,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Robert B. Aderholt,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Andrew S. Clyde,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Ben Cline,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Harold Rogers,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Robert B. Aderholt,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 John R. Carter,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Mike Garcia,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Jake Ellzey,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 C. A. Dutch Ruppersberger,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Mike Garcia,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Joseph D. Morelle,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Andrew S. Clyde,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115509,"Thursday, March 23, 2023"
 Andy Harris,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 John R. Moolenaar,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Julia Letlow,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Barbara Lee,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,"Thursday, March 23, 2023"
 Robert B. Aderholt,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
" Charles J. ""Chuck"" Fleischmann",AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Michael K. Simpson,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
" Charles J. ""Chuck"" Fleischmann",AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Julia Letlow,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Andrew S. Clyde,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115509,"Thursday, March 23, 2023"
 Jake LaTurner,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115509,"Thursday, March 23, 2023"
 Marcy Kaptur,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,"Thursday, March 23, 2023"
 Dan Newhouse,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Julia Letlow,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Marcy Kaptur,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Debbie Wasserman Schultz,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 David G. Valadao,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115509,"Thursday, March 23, 2023"
 Scott Franklin,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115505,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115509,"Thursday, March 23, 2023"
 Ken Calvert,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Mike Garcia,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
" Charles J. ""Chuck"" Fleischmann",AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Marcy Kaptur,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Derek Kilmer,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115492,AP10,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115504,"Thursday, March 23, 2023"
 Burgess Owens,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Glenn Thompson,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Glenn Grothman,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Elise M. Stefanik,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Jim Banks,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Lloyd Smucker,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Bob Good,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Nathaniel Moran,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Lori Chavez-DeRemer,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
 Brandon Williams,ED13,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115528,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115527,"Thursday, March 23, 2023"
